,site,site_abbreviation,country,province,city,latitude,longitude,survey_date,plant_or_pans,n,Start.Number,End.Number,index,uniqueID,name,order,family,genus,species,sex
1,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_1,JCUJ,Hymenoptera,Apidae,Bombus,flavifrons,female
2,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_2,JCUJ,,,,,
3,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_3,JCUJ,,,,,
4,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_4,JCUJ,Hymenoptera,Apidae,Bombus,flavifrons,female
5,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_5,JCUJ,Hymenoptera,Andrenidae,Andrena,,
6,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_6,JCUJ,Hymenoptera,Halictidae,Halictus,confusus,female
7,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_7,JCUJ,,,,,
8,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_8,JCUJ,Hymenoptera,Apidae,Bombus,flavifrons,female
9,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_9,JCUJ,,,,,
10,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_10,JCUJ,Hymenoptera,Apidae,Apis,mellifera,female
11,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_11,JCUJ,,,,,
12,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_12,JCUJ,Hymenoptera,Halictidae,Lasioglossum,,female
13,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_13,JCUJ,,,,,
14,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_14,JCUJ,Hymenoptera,Apidae,Bombus,flavifrons,female
15,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_15,JCUJ,Hymenoptera,Apidae,Bombus,melanopygus,male
16,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_16,JCUJ,,,,,
17,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_17,JCUJ,Hymenoptera,Apidae,Bombus,flavifrons,female
18,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_18,JCUJ,Hymenoptera,Apidae,Bombus,mixtus,female
19,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_19,JCUJ,Hymenoptera,Apidae,Bombus,flavifrons,female
20,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_20,JCUJ,Hymenoptera,Apidae,Bombus,flavifrons,female
21,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_21,JCUJ,,,,,
22,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_22,JCUJ,,,,,
23,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_23,JCUJ,,,,,
24,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_24,JCUJ,,,,,
25,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_25,JCUJ,,,,,
26,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_26,JCUJ,,,,,
27,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_27,JCUJ,,,,,
28,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_28,JCUJ,,,,,
29,ubc_farm_hedgerow,ubc_f1,CAN,BC,Vancouver,49.249828,-123.235622,5/27/2020,pan trap,74,1,74,1,JCUJ2020_29,JCUJ,,,,,
